,SUBJECTS,SUBJECTS_HOURS_ONE_WEEK,SUBJECTS_HOURS_TWO_WEEKS,SUBJECTS_HOURS_ALL
0,Привод пр.,4.0,8.0,18
1,Привод лек.,1.0,2.0,18
2,Привод лаб.,4.0,8.0,16
3,ТССУ лек.,1.0,2.0,18
4,ТССУ пр.,2.0,4.0,9
5,ТССУ кр.,2.0,4.0,9
6,ТССУ лаб.,4.0,8.0,18
7,БЖД лек.,1.0,2.0,18
8,БЖД пр.,4.0,8.0,18
9,БЖД лаб.,4.0,8.0,18
10,АПМСЭЭС лек.,1.0,2.0,18
11,АПМСЭЭС лаб.,1.0,2.0,18
12,МССУ (ДВС6) лек.,1.0,2.0,18
13,МССУ (ДВС6) лаб.,0.5,1.0,9
14,МССУ (ДВС6) пр.,0.5,1.0,9
15,ТОУ лек.,1.0,2.0,18
16,ТОУ лаб.,4.0,8.0,18
17,СЭЭС лек.,1.0,2.0,18
18,СЭЭС пр.,0.5,1.0,9
19,СЭЭС лаб.,0.5,1.0,9
20,МПТвМиРТ лек.,1.0,2.0,18
21,МПТвМиРТ лаб.,1.0,2.0,9
22,МПТвМиРТ пр.,1.0,2.0,8
23,ФиРИСУК (ДВС8) лек.,1.0,2.0,18
24,ФиРИСУК (ДВС8) пр.,0.5,1.0,9
25,ФиРИСУК (ДВС8) лаб.,0.5,1.0,9
26,СУЭЭУК пр.,0.5,1.0,9
27,СУЭЭУК лаб.,0.5,1.0,9
28,СУЭЭУК лек.,1.0,2.0,18
29,ПЛКиПС лек.,1.0,2.0,18
30,ПЛКиПС лаб.,1.5,3.0,9
31,ПЛКиПС пр.,1.5,3.0,9
32,ТЕХНИЧЕСКОЕ ЗРЕНИЕ,1.0,2.0,9
33,ТЕХНИЧЕСКОЕ ЗРЕНИЕ лаб.,1.0,2.0,9
34,ТЕХНИЧЕСКОЕ ЗРЕНИЕ пр.,1.0,2.0,9
