,SUBJECTS,SUBJECTS_LESSONS_ONE_WEEK,SUBJECTS_LESSONS_TWO_WEEKS,SUBJECTS_LESSONS_ALL
0,Привод пр.,2.0,4.0,36.0
1,Привод лек.,1.0,2.0,18.0
2,Привод лаб.,4.0,8.0,64.0
3,ТССУ лек.,1.0,2.0,18.0
4,ТССУ пр.,2.0,4.0,36.0
5,ТССУ кр.,2.0,4.0,36.0
6,ТССУ лаб.,4.0,8.0,72.0
7,БЖД лек.,1.0,2.0,18.0
8,БЖД пр.,4.0,8.0,72.0
9,БЖД лаб.,4.0,8.0,72.0
10,АПМСЭЭС лек.,1.0,2.0,18.0
11,АПМСЭЭС лаб.,1.0,2.0,18.0
12,МССУ (ДВС6) лек.,1.0,2.0,18.0
13,МССУ (ДВС6) лаб.,0.5,1.0,9.0
14,МССУ (ДВС6) пр.,0.5,1.0,9.0
15,ТОУ лек.,1.0,2.0,18.0
16,ТОУ лаб.,4.0,8.0,72.0
17,СЭЭС лек.,1.0,2.0,18.0
18,СЭЭС пр.,0.5,1.0,9.0
19,СЭЭС лаб.,0.5,1.0,9.0
20,МПТвМиРТ лек.,1.0,2.0,18.0
21,МПТвМиРТ лаб.,1.0,2.0,18.0
22,МПТвМиРТ пр.,1.0,2.0,18.0
23,ФиРИСУК (ДВС8) лек.,1.0,2.0,18.0
24,ФиРИСУК (ДВС8) пр.,0.5,1.0,9.0
25,ФиРИСУК (ДВС8) лаб.,0.5,1.0,9.0
26,СУЭЭУК пр.,0.5,1.0,9.0
27,СУЭЭУК лаб.,0.5,1.0,9.0
28,СУЭЭУК лек.,1.0,2.0,18.0
29,ПЛКиПС лек.,1.0,2.0,18.0
30,ПЛКиПС лаб.,1.5,3.0,27.0
31,ПЛКиПС пр.,1.5,3.0,27.0
32,ТЕХНИЧЕСКОЕ ЗРЕНИЕ лек.,1.0,2.0,18.0
33,ТЕХНИЧЕСКОЕ ЗРЕНИЕ лаб.,1.0,2.0,18.0
34,ТЕХНИЧЕСКОЕ ЗРЕНИЕ пр.,1.0,2.0,18.0
